what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1284012021255
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1284012021286
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1284012021286
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1284012021286
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1284012021286
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1284012021286
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1284012021286
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1284012021302
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1284012021302
os,sysinfo,,,"win32",1284012021302
arch,sysinfo,,,"x86",1284012021302
ws,sysinfo,,,"win32",1284012021302
locale,sysinfo,,,"da_DK",1284012021302
processors,sysinfo,,,"2",1284012021302
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284012021302
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1284012021302
java.specification.name,sysinfo,,,"Java Platform API Specification",1284012021302
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284012021302
java.specification.version,sysinfo,,,"1.6",1284012021302
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284012021302
java.version,sysinfo,,,"1.6.0_18",1284012021302
java.vm.info,sysinfo,,,"mixed mode, sharing",1284012021302
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284012021302
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284012021302
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284012021302
