what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1316074328849
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1316074328849
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1316074328849
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1316074328849
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1316074328849
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1316074328849
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1316074328849
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1316074328849
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1316074328849
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1316074328849
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1316074328849
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1316074328849
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1316074328849
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1316074328849
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1316074328849
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1316074328849
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1316074328849
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1316074328849
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1316074328864
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1316074328864
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1316074328864
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1316074328864
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1316074328864
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1316074328864
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1316074328864
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1316074328880
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1316074328895
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1316074328895
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1316074328895
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1316074328895
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1316074328895
started,bundle,com.sigasi.hdt,1.0.0.20100922145352,"com.sigasi.hdt",1316074328895
started,bundle,com.sigasi.hdt.core,1.0.0.20100922145352,"com.sigasi.hdt.core",1316074328895
os,sysinfo,,,"win32",1316074328895
arch,sysinfo,,,"x86",1316074328895
ws,sysinfo,,,"win32",1316074328895
locale,sysinfo,,,"da_DK",1316074328895
processors,sysinfo,,,"2",1316074328895
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1316074328895
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1316074328895
java.specification.name,sysinfo,,,"Java Platform API Specification",1316074328895
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074328895
java.specification.version,sysinfo,,,"1.6",1316074328895
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074328895
java.version,sysinfo,,,"1.6.0_26",1316074328895
java.vm.info,sysinfo,,,"mixed mode, sharing",1316074328895
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1316074328895
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1316074328895
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074328895
java.vm.specification.version,sysinfo,,,"1.0",1316074328895
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1316074328895
java.vm.version,sysinfo,,,"20.1-b02",1316074328895
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1316074750129
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1316074750332
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1316074750348
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1316074750425
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1316074750425
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1316074750425
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1316074750425
stopped,bundle,org.eclipse.jsch.ui,1.1.200.r35x_20100210-1114,"org.eclipse.jsch.ui",1316074750425
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1316074750425
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1316074750425
