what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182529683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182534949
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1286182539308
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1286182540558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182541152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182544340
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182547449
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182549981
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182552387
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1286182556075
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1286182558778
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1286182559059
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1286182560809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1286182561512
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182562872
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1286182564997
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286182566700
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182571919
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1286182571919
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1286182577232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1286182577451
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1286182579060
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182579763
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.forwardHistory",1286182579779
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1286182582092
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1286182583217
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182585639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1286182585654
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1286182589592
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1286182590561
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182591530
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.forwardHistory",1286182591545
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1286182593233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1286182593998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286182595139
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182597108
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1286182597108
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286182598171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182599077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182604030
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286182610609
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182610843
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286182610890
error,log,,,"Unable to get CElement for Macro",1286182629750
error,log,,,"Unable to get CElement for Macro",1286182629750
error,log,,,"Unable to get CElement for Macro",1286182629750
error,log,,,"Unable to get CElement for Macro",1286182629766
error,log,,,"Unable to get CElement for Macro",1286182629766
error,log,,,"Unable to get CElement for Macro",1286182629766
error,log,,,"Unable to get CElement for Macro",1286182629766
error,log,,,"Unable to get CElement for Macro",1286182629766
error,log,,,"Unable to get CElement for Macro",1286182629766
error,log,,,"Unable to get CElement for Macro",1286182629782
error,log,,,"Unable to get CElement for Macro",1286182629782
error,log,,,"Unable to get CElement for Macro",1286182629782
error,log,,,"Unable to get CElement for Macro",1286182629782
error,log,,,"Unable to get CElement for Macro",1286182629782
error,log,,,"Unable to get CElement for Macro",1286182629797
error,log,,,"Unable to get CElement for Macro",1286182629797
error,log,,,"Unable to get CElement for Macro",1286182629797
error,log,,,"Unable to get CElement for Macro",1286182629797
error,log,,,"Unable to get CElement for Macro",1286182629797
error,log,,,"Unable to get CElement for Macro",1286182629797
error,log,,,"Unable to get CElement for Macro",1286182629813
error,log,,,"Unable to get CElement for Macro",1286182629813
error,log,,,"Unable to get CElement for Macro",1286182629813
error,log,,,"Unable to get CElement for Macro",1286182629813
error,log,,,"Unable to get CElement for Macro",1286182629813
error,log,,,"Unable to get CElement for Macro",1286182629813
error,log,,,"Unable to get CElement for Macro",1286182629828
error,log,,,"Unable to get CElement for Macro",1286182629828
error,log,,,"Unable to get CElement for Macro",1286182629828
error,log,,,"Unable to get CElement for Macro",1286182629828
error,log,,,"Unable to get CElement for Macro",1286182629828
error,log,,,"Unable to get CElement for Macro",1286182629828
error,log,,,"Unable to get CElement for Macro",1286182629844
error,log,,,"Unable to get CElement for Macro",1286182629844
error,log,,,"Unable to get CElement for Macro",1286182629844
error,log,,,"Unable to get CElement for Macro",1286182629844
error,log,,,"Unable to get CElement for Macro",1286182629860
error,log,,,"Unable to get CElement for Macro",1286182629860
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629875
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629891
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
error,log,,,"Unable to get CElement for Macro",1286182629907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1286182630344
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286182636094
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286182643845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182645564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182645564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286182645564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183289824
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1286183303059
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1286183306137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183308527
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286183316684
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183327059
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286183328043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183351168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183356605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183357996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183371168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183383652
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183390121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183392011
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183527137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183557407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183581864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183594475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183596022
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286183598897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1286183606461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183607758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183621932
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286183626526
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1286183652577
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1286183653218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183654015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183654999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183658765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183665844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183666720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183690910
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1286183712867
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183713836
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183722681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286183771125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286184909554
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286184912304
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286184929710
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286184933507
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1286184936382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1286184943882
