what,kind,bundleId,bundleVersion,description,time
error,log,,,": invalid custom doxygen identifier found.",1285746476416
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746476447
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746481541
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285746593620
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746594698
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746597510
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1285746597557
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285746597557
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746605370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746608448
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746613683
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746613683
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746614808
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746616027
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285746617653
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746617653
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746625623
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1285746625669
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285746632983
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285749141258
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1285749147070
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1285749150024
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1285749150242
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1285749150320
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1285749151633
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.4,"org.tigris.subversion.clientadapter.svnkit",1285749151852
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1285749151852
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285749160446
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285752861363
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285752869082
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285752944006
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1285752951678
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285752952163
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285765960485
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285765961344
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285765962891
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285765963297
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1285765965032
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1285765965063
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1285765965063
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1285765965063
stopped,bundle,org.eclipse.jsch.ui,1.1.200.r35x_20100210-1114,"org.eclipse.jsch.ui",1285765965110
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1285765965110
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20091009_35x,"org.eclipse.help.webapp",1285765965188
