what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284628971921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284628973781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284628976281
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284628978250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284628978859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284628984421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1284628987406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284628992140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284628996781
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1284628998296
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629019187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629027625
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284629030406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629040000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629043031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629048921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629057640
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284629060921
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284629067531
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284629093468
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1284629094328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629094562
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1284629097062
started,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1284629097062
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1284629097109
started,bundle,com.android.ide.eclipse.ddms,0.9.6.v201002051504-24846,"com.android.ide.eclipse.ddms",1284629097671
started,bundle,com.android.ide.eclipse.adt,0.9.6.v201002051504-24846,"com.android.ide.eclipse.adt",1284629098171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629100250
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1284629100265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1284629100265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629101718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629114296
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284629114343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284629129625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629137609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629325750
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1284629328109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629329921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629575390
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284629579640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629599265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629977062
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284629981187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1284629994921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284629995968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630034390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1284630037203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630038046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630106859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630107218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630109203
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284630112625
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1284630114484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1284630116015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630116687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630186437
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284630190843
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284630194640
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284630196031
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1284630201062
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284630209546
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1284630214562
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284630214890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630215750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284630216500
