what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1283435077687
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1283435077687
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1283435077687
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1283435077703
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1283435077703
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1283435077703
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1283435077765
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1283435077765
os,sysinfo,,,"win32",1283435077781
arch,sysinfo,,,"x86",1283435077781
ws,sysinfo,,,"win32",1283435077781
locale,sysinfo,,,"da_DK",1283435077781
processors,sysinfo,,,"2",1283435077781
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1283435077781
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1283435077781
java.specification.name,sysinfo,,,"Java Platform API Specification",1283435077781
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283435077781
java.specification.version,sysinfo,,,"1.6",1283435077781
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1283435077781
java.version,sysinfo,,,"1.6.0_18",1283435077781
java.vm.info,sysinfo,,,"mixed mode, sharing",1283435077781
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1283435077781
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1283435077781
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283435077781
java.vm.specification.version,sysinfo,,,"1.0",1283435077781
