what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284028788395
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1284028793552
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1284028798911
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284028809223
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284028832145
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1284028832177
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284028834177
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029021177
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1284029023130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029033645
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029051536
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029054817
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029182989
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1284029187755
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029195145
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029198208
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029198442
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029432130
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1284029434427
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1284029434536
closed,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1284029434536
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1284029437442
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1284029444270
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1284029446348
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1284029472364
