what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436948187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436953953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436956906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436963468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436965125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436970859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436972718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283436997875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1283437001109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437002000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437005906
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1283437008625
activated,view,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.ui.views.MakeView",1283437011250
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1283437015750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437026640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437089187
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1283437091156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437101796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437102421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437103343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1283437118609
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.findPrevious",1283437133562
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.findPrevious",1283437134796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1283437159843
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1283437161234
